Artist,Song Title,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bini,The Revelation of Jesus - Live,1dQs3lyuDOCf4HCiZO2eAJ,0.374,0.556,0.0,-7.347,1.0,0.0314,0.0023,2.92e-05,0.408,0.158,139.751,audio_features,1dQs3lyuDOCf4HCiZO2eAJ,spotify:track:1dQs3lyuDOCf4HCiZO2eAJ,https://api.spotify.com/v1/tracks/1dQs3lyuDOCf4HCiZO2eAJ,https://api.spotify.com/v1/audio-analysis/1dQs3lyuDOCf4HCiZO2eAJ,264387.0,4.0
Bini,"Read All About It, Pt. III - Extended",3rW1IYFUTJSCx1HMcpUxa2,0.787,0.657,6.0,-6.724,0.0,0.106,0.114,0.475,0.106,0.516,120.022,audio_features,3rW1IYFUTJSCx1HMcpUxa2,spotify:track:3rW1IYFUTJSCx1HMcpUxa2,https://api.spotify.com/v1/tracks/3rW1IYFUTJSCx1HMcpUxa2,https://api.spotify.com/v1/audio-analysis/3rW1IYFUTJSCx1HMcpUxa2,356345.0,4.0
Bini,All Things - Live,5ePw8ew8x6jRG1wLuSD8Cd,0.25,0.533,7.0,-7.491,1.0,0.0376,0.0368,0.0,0.154,0.189,136.648,audio_features,5ePw8ew8x6jRG1wLuSD8Cd,spotify:track:5ePw8ew8x6jRG1wLuSD8Cd,https://api.spotify.com/v1/tracks/5ePw8ew8x6jRG1wLuSD8Cd,https://api.spotify.com/v1/audio-analysis/5ePw8ew8x6jRG1wLuSD8Cd,482389.0,4.0
Bini,Born to Win - Acapella,3wOh9gU88iPeQO4eHBq23z,0.685,0.656,9.0,-6.777,0.0,0.395,0.887,0.0,0.304,0.506,106.304,audio_features,3wOh9gU88iPeQO4eHBq23z,spotify:track:3wOh9gU88iPeQO4eHBq23z,https://api.spotify.com/v1/tracks/3wOh9gU88iPeQO4eHBq23z,https://api.spotify.com/v1/audio-analysis/3wOh9gU88iPeQO4eHBq23z,109227.0,4.0
Bini,Born to Win,2ndrIRCCUi2tJ9UbTo0rvh,0.857,0.855,9.0,-2.329,0.0,0.069,0.173,0.0,0.0545,0.59,107.924,audio_features,2ndrIRCCUi2tJ9UbTo0rvh,spotify:track:2ndrIRCCUi2tJ9UbTo0rvh,https://api.spotify.com/v1/tracks/2ndrIRCCUi2tJ9UbTo0rvh,https://api.spotify.com/v1/audio-analysis/2ndrIRCCUi2tJ9UbTo0rvh,173889.0,4.0
Bini,Doxology (Hallelujah) - Live,2lVb2UykxUk8kUipaDqexc,0.261,0.715,6.0,-6.43,1.0,0.0405,0.00483,0.000114,0.656,0.284,147.915,audio_features,2lVb2UykxUk8kUipaDqexc,spotify:track:2lVb2UykxUk8kUipaDqexc,https://api.spotify.com/v1/tracks/2lVb2UykxUk8kUipaDqexc,https://api.spotify.com/v1/audio-analysis/2lVb2UykxUk8kUipaDqexc,581933.0,4.0
Bini,Peace Of Mind,22ATJ4F2a7B8duG4aTzNI0,0.645,0.383,6.0,-10.196,0.0,0.197,0.0432,0.125,0.09,0.409,135.248,audio_features,22ATJ4F2a7B8duG4aTzNI0,spotify:track:22ATJ4F2a7B8duG4aTzNI0,https://api.spotify.com/v1/tracks/22ATJ4F2a7B8duG4aTzNI0,https://api.spotify.com/v1/audio-analysis/22ATJ4F2a7B8duG4aTzNI0,130793.0,5.0
Bini,Kaze Wo Atsumete,4LKzli0rhdrSkeOuyuuyr3,0.457,0.0751,9.0,-14.107,0.0,0.0375,0.961,4.9e-05,0.111,0.269,184.932,audio_features,4LKzli0rhdrSkeOuyuuyr3,spotify:track:4LKzli0rhdrSkeOuyuuyr3,https://api.spotify.com/v1/tracks/4LKzli0rhdrSkeOuyuuyr3,https://api.spotify.com/v1/audio-analysis/4LKzli0rhdrSkeOuyuuyr3,253363.0,3.0
Bini,I Was In The Spirit On The Lord's Day - Live,3iGyLKZ0XlAiEXT5TUfM46,0.206,0.519,7.0,-8.598,1.0,0.0349,0.0158,0.000163,0.145,0.199,147.191,audio_features,3iGyLKZ0XlAiEXT5TUfM46,spotify:track:3iGyLKZ0XlAiEXT5TUfM46,https://api.spotify.com/v1/tracks/3iGyLKZ0XlAiEXT5TUfM46,https://api.spotify.com/v1/audio-analysis/3iGyLKZ0XlAiEXT5TUfM46,301024.0,4.0
Bini,Born to Win - EDM Version,1vJuqN76Wrrxl9FcGc8JCi,0.612,0.752,0.0,-8.233,1.0,0.0312,0.000129,0.922,0.41,0.176,113.016,audio_features,1vJuqN76Wrrxl9FcGc8JCi,spotify:track:1vJuqN76Wrrxl9FcGc8JCi,https://api.spotify.com/v1/tracks/1vJuqN76Wrrxl9FcGc8JCi,https://api.spotify.com/v1/audio-analysis/1vJuqN76Wrrxl9FcGc8JCi,167863.0,4.0
Bini,The Letters - Live,7oYa2Xi3wdHRg8I9SRS67n,0.258,0.368,1.0,-9.017,1.0,0.0319,0.0531,0.0,0.676,0.239,144.826,audio_features,7oYa2Xi3wdHRg8I9SRS67n,spotify:track:7oYa2Xi3wdHRg8I9SRS67n,https://api.spotify.com/v1/tracks/7oYa2Xi3wdHRg8I9SRS67n,https://api.spotify.com/v1/audio-analysis/7oYa2Xi3wdHRg8I9SRS67n,362294.0,4.0
Bini,Patmos - Live,0izKlR8bsAogxoV0JWPBhW,0.329,0.304,7.0,-11.991,1.0,0.0363,0.512,4.17e-05,0.117,0.123,75.115,audio_features,0izKlR8bsAogxoV0JWPBhW,spotify:track:0izKlR8bsAogxoV0JWPBhW,https://api.spotify.com/v1/tracks/0izKlR8bsAogxoV0JWPBhW,https://api.spotify.com/v1/audio-analysis/0izKlR8bsAogxoV0JWPBhW,165517.0,4.0
Bini,I Can't Stay Here - Live,7uVbxPHxAkNY0ogBnaYkq9,0.389,0.554,6.0,-7.651,1.0,0.0389,0.0332,3.91e-06,0.0991,0.209,139.707,audio_features,7uVbxPHxAkNY0ogBnaYkq9,spotify:track:7uVbxPHxAkNY0ogBnaYkq9,https://api.spotify.com/v1/tracks/7uVbxPHxAkNY0ogBnaYkq9,https://api.spotify.com/v1/audio-analysis/7uVbxPHxAkNY0ogBnaYkq9,390624.0,4.0
